Co2(scd40) raw_signla(sgp40) aiq(ens160) tvoc(ens160) eco2(ens160) rs1(ens160) rs3(ens160) rs4(ens160) rmox(zmod4410) tvoc(zmod4410) eco2(zmod4410) iaq(zmod4410) resistencia(bme688) Aire/muestra
1738 32570 2 208 702 424.76 414.67 84.96 5.35 0.0339 401 1 410420.843750 1
1738 32570 2 208 702 424.76 414.67 84.96 5.35 0.0357 401 1 408945.687500 1
1738 32566 2 205 706 415.38 412.99 84.70 5.35 0.0357 401 1 408945.687500 1
1738 32566 2 205 706 415.38 412.99 84.70 5.35 0.0373 402 1 408700.843750 1
1738 32564 2 199 692 420.33 412.99 85.83 5.35 0.0373 402 1 408700.843750 1
1738 32564 2 199 692 420.33 412.99 85.83 5.35 0.0385 402 1 408700.843750 1
1738 32562 2 193 692 420.33 412.99 85.83 5.35 0.0385 402 1 409681.937500 1
1738 32562 2 193 685 407.72 405.93 86.41 5.35 0.0402 402 1 409681.937500 1
1738 32556 2 193 685 407.72 405.93 86.41 5.35 0.0402 402 1 408700.843750 1
1738 32556 2 212 708 404.69 408.68 84.53 5.35 0.0402 402 1 408700.843750 1
1738 32556 2 212 708 404.69 408.68 84.53 5.35 0.0415 403 1 407481.093750 1
1739 32548 3 226 721 415.38 404.42 83.45 5.35 0.0415 403 1 407481.093750 1
1739 32548 3 226 721 415.38 404.42 83.45 5.35 0.0432 403 1 407968.125000 1
1740 32544 3 210 705 409.38 402.10 84.76 5.35 0.0432 403 1 407968.125000 1
1740 32544 3 210 705 409.38 402.10 84.76 5.35 0.0447 403 1 407968.125000 1
1740 32540 2 196 705 409.38 402.10 84.76 5.35 0.0447 403 1 407968.125000 1
1740 32540 2 196 689 403.60 403.32 86.09 5.35 0.0466 404 1 407968.125000 1
1741 32535 2 196 689 403.60 403.32 86.09 5.35 0.0466 404 1 404343.531250 1
1741 32535 2 194 686 401.83 399.93 86.32 5.35 0.0466 404 1 404343.531250 1
1741 32535 2 194 686 401.83 399.93 86.32 5.35 0.0484 404 1 404823.093750 1
1741 32531 2 217 713 401.15 407.03 84.10 5.35 0.0484 404 1 404823.093750 1
1741 32531 2 217 713 401.15 407.03 84.10 5.35 0.0501 404 1 403387.812500 1
1742 32532 2 186 676 398.71 397.23 87.12 5.35 0.0501 404 1 403387.812500 1
1742 32532 2 186 676 398.71 397.23 87.12 5.35 0.0518 405 1 403387.812500 1
1743 32525 3 226 676 398.71 397.23 87.12 5.35 0.0518 405 1 403149.593750 1
1743 32525 3 226 725 409.79 392.15 83.20 5.35 0.0535 405 1 403149.593750 1
1743 32515 3 226 725 409.79 392.15 83.20 5.35 0.0535 405 1 402199.531250 1
1743 32515 2 187 676 414.25 394.95 87.09 5.35 0.0535 405 1 402199.531250 1
1743 32515 2 187 676 414.25 394.95 87.09 5.35 0.0548 405 1 402674.000000 1
1744 32511 3 225 723 409.79 382.84 83.37 5.35 0.0548 405 1 402674.000000 1
1744 32511 3 225 723 409.79 382.84 83.37 5.35 0.0562 406 1 401018.218750 1
1744 32512 2 202 696 396.29 393.08 85.48 5.35 0.0562 406 1 401018.218750 1
1744 32512 2 202 696 396.29 393.08 85.48 5.35 0.0571 406 1 401018.218750 1
1744 32511 2 203 696 396.29 393.08 85.48 5.35 0.0571 406 1 402674.000000 1
1744 32511 2 203 697 404.28 393.88 85.39 5.35 0.0587 407 1 402674.000000 1
1746 32507 2 203 697 404.28 393.88 85.39 5.35 0.0587 407 1 401726.156250 1
1746 32507 2 215 720 395.22 394.68 83.59 5.35 0.0587 407 1 401726.156250 1
1746 32507 2 215 720 395.22 394.68 83.59 5.35 0.0599 407 1 401489.906250 1
1748 32507 2 194 686 396.15 388.72 86.32 5.35 0.0599 407 1 401489.906250 1
1748 32507 2 194 686 396.15 388.72 86.32 5.35 0.0609 407 1 401018.218750 1
1747 32505 2 190 681 403.60 385.31 86.73 5.35 0.0609 407 1 401018.218750 1
1747 32505 2 190 681 403.60 385.31 86.73 5.35 0.0616 408 1 401018.218750 1
1748 32502 2 204 681 403.60 385.31 86.73 5.35 0.0616 408 1 399843.812500 1
1748 32502 2 204 698 390.83 386.88 85.34 5.35 0.0628 408 1 399843.812500 1
1751 32501 2 204 698 390.83 386.88 85.34 5.35 0.0628 408 1 400312.750000 1
1751 32501 3 225 701 393.48 385.83 85.08 5.35 0.0628 408 1 400312.750000 1
1751 32501 3 225 701 393.48 385.83 85.08 5.35 0.0639 408 1 400078.125000 1
1751 32499 3 211 707 398.44 381.16 84.62 5.35 0.0639 408 1 400078.125000 1
1751 32499 3 211 707 398.44 381.16 84.62 5.35 0.0650 409 1 397053.125000 1
1751 32494 3 226 725 402.64 385.05 83.20 5.35 0.0650 409 1 397053.125000 1
1751 32494 3 226 725 402.64 385.05 83.20 5.35 0.0666 409 1 397053.125000 1
1753 32493 2 219 725 402.64 385.05 83.20 5.35 0.0666 409 1 397979.000000 1
1753 32493 2 219 716 393.88 376.54 83.88 5.35 0.0672 410 1 397979.000000 1
1753 32491 2 219 716 393.88 376.54 83.88 5.35 0.0672 410 1 397284.187500 1
1753 32491 2 205 689 395.48 381.03 86.06 5.35 0.0672 410 1 397284.187500 1
1753 32491 2 205 689 395.48 381.03 86.06 5.35 0.0684 410 1 396591.781250 1
1753 32486 2 224 722 392.68 378.85 83.42 5.35 0.0684 410 1 396591.781250 1
1753 32486 2 224 722 392.68 378.85 83.42 5.35 0.0695 410 1 397747.125000 1
1753 32482 3 235 735 383.88 372.99 82.41 5.35 0.0695 410 1 397747.125000 1
1753 32482 3 235 735 383.88 372.99 82.41 5.35 0.0704 411 1 397747.125000 1
1753 32473 2 218 735 383.88 372.99 82.41 5.35 0.0704 411 1 396591.781250 1
1753 32473 2 218 715 389.51 379.62 83.96 5.35 0.0717 411 1 396591.781250 1
1753 32475 2 218 715 389.51 379.62 83.96 5.35 0.0717 411 1 395443.125000 1
1753 32475 3 236 743 388.19 376.80 81.83 5.35 0.0717 411 1 395443.125000 1
1753 32475 3 236 743 388.19 376.80 81.83 5.35 0.0725 411 1 394301.125000 1
1752 32472 2 205 699 390.43 379.23 85.25 5.35 0.0725 411 1 394301.125000 1
1752 32472 2 205 699 390.43 379.23 85.25 5.35 0.0735 412 1 394301.125000 1
1752 32479 2 203 696 393.88 374.26 85.48 5.35 0.0735 412 1 394301.125000 1
1752 32479 2 203 696 393.88 374.26 85.48 5.35 0.0745 412 1 394301.125000 1
1753 32476 3 235 696 393.88 374.26 85.48 5.35 0.0745 412 1 393846.156250 1
1753 32476 3 235 735 388.06 377.44 82.41 5.35 0.0756 413 1 393846.156250 1
1753 32476 3 235 735 388.06 377.44 82.41 5.35 0.0756 413 1 396131.531250 1
1753 32476 3 240 737 387.27 369.10 82.24 5.35 0.0756 413 1 396131.531250 1
1753 32476 3 240 737 387.27 369.10 82.24 5.35 0.0767 413 1 393846.156250 1
1753 32472 3 227 725 380.77 374.64 83.17 5.35 0.0767 413 1 393846.156250 1
1753 32472 3 227 725 380.77 374.64 83.17 5.35 0.0780 413 1 393165.687500 1
1753 32468 3 237 737 382.32 370.48 82.24 5.35 0.0780 413 1 393165.687500 1
1753 32468 3 237 737 382.32 370.48 82.24 5.35 0.0787 414 1 393165.687500 1
1753 32467 2 218 737 382.32 370.48 82.24 5.35 0.0787 414 1 392262.031250 1
1753 32467 2 218 715 383.88 380.00 83.45 5.35 0.0790 414 1 392262.031250 1
1752 32470 2 218 715 383.88 380.00 83.45 5.35 0.0790 414 1 391811.750000 1
1752 32470 3 212 708 382.84 375.65 84.53 5.35 0.0790 414 1 391811.750000 1
1752 32470 3 212 708 382.84 375.65 84.53 5.35 0.0794 414 1 391138.281250 1
1752 32472 3 227 726 381.55 378.59 83.14 5.35 0.0794 414 1 391138.281250 1
1752 32472 3 227 726 381.55 378.59 83.14 5.35 0.0795 415 1 390020.937500 1
1752 32473 2 201 694 383.23 371.86 85.65 5.35 0.0795 415 1 390020.937500 1
1752 32473 2 201 694 383.23 371.86 85.65 5.35 0.0797 415 1 390020.937500 1
1752 32471 3 238 694 383.23 371.86 85.65 5.35 0.0797 415 1 393392.250000 1
1752 32471 3 238 726 385.57 367.23 83.11 5.35 0.0803 415 1 393392.250000 1
1752 32471 3 238 726 385.57 367.23 83.11 5.35 0.0803 415 1 391587.000000 1
1752 32471 2 223 721 389.51 371.73 83.54 5.35 0.0803 415 1 391587.000000 1
1752 32471 2 223 721 389.51 371.73 83.54 5.35 0.0808 415 2 392036.750000 1
1752 32467 2 207 701 379.74 370.35 85.08 5.35 0.0808 415 2 392036.750000 1
1752 32467 2 207 701 379.74 370.35 85.08 5.35 0.0818 416 2 389575.812500 1
1752 32464 3 223 721 382.71 365.74 83.51 5.35 0.0818 416 2 389575.812500 1
1752 32464 3 223 721 382.71 365.74 83.51 5.35 0.0824 416 2 389575.812500 1
1752 32457 2 211 721 382.71 365.74 83.51 5.35 0.0824 416 2 390020.937500 1
1752 32457 2 211 723 384.53 372.36 83.37 5.35 0.0825 416 2 390020.937500 1
1752 32454 2 211 723 384.53 372.36 83.37 5.35 0.0825 416 2 389353.625000 1
1752 32454 2 251 753 376.29 368.60 81.08 5.35 0.0825 416 2 389353.625000 1
1752 32454 2 251 753 376.29 368.60 81.08 5.35 0.0831 416 2 390914.281250 1
1752 32460 3 238 738 380.90 369.22 82.22 5.35 0.0831 416 2 390914.281250 1
1752 32460 3 238 738 380.90 369.22 82.22 5.35 0.0845 417 2 389131.687500 0
